id,time_baca,time_blatchington,time_cardinal_n,time_ds,time_hove_park,time_kings,time_longhill,time_paca,time_patcham,time_varndean,first_closest_travel,second_closest_travel,third_closest_travel,first_closest_time,second_closest_time,third_closest_time,max_travel,min_travel,avg_travel,geometry,long,lat
BN1 1AA,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1AB,38,47,29,36,37,53,48,42,41,30,cardinal_n,varndean,ds,29,30,36,53,29,40.1,"c(-0.14179, 50.822959)",-0.14179,50.822959
BN1 1AD,38,48,30,38,38,54,48,43,42,33,cardinal_n,varndean,baca,30,33,38,54,30,41.2,"c(-0.142167, 50.821691)",-0.142167,50.821691
BN1 1AE,37,48,30,37,38,54,47,43,41,32,cardinal_n,varndean,baca,30,32,37,54,30,40.7,"c(-0.141753, 50.821384)",-0.141753,50.821384
BN1 1AF,37,47,29,36,37,52,47,42,41,31,cardinal_n,varndean,ds,29,31,36,52,29,39.9,"c(-0.141565, 50.822545)",-0.141565,50.822545
BN1 1AG,39,47,29,37,37,52,56,42,42,32,cardinal_n,varndean,ds,29,32,37,56,29,41.3,"c(-0.142871, 50.822922)",-0.142871,50.822922
BN1 1AH,39,47,29,37,37,52,56,42,42,32,cardinal_n,varndean,ds,29,32,37,56,29,41.3,"c(-0.142864, 50.822736)",-0.142864,50.822736
BN1 1AJ,38,48,30,38,38,55,48,44,42,33,cardinal_n,varndean,baca,30,33,38,55,30,41.4,"c(-0.14256, 50.821451)",-0.14256,50.821451
BN1 1AL,39,48,30,39,38,55,56,46,43,34,cardinal_n,varndean,hove_park,30,34,38,56,30,42.8,"c(-0.142961, 50.821362)",-0.142961,50.821362
BN1 1AN,40,47,29,39,37,53,57,43,45,34,cardinal_n,varndean,hove_park,29,34,37,57,29,42.4,"c(-0.1435, 50.822086)",-0.1435,50.822086
BN1 1AP,41,51,31,46,40,58,58,48,46,39,cardinal_n,varndean,hove_park,31,39,40,58,31,45.8,"c(-0.143707, 50.820804)",-0.143707,50.820804
BN1 1AR,38,47,28,38,37,52,56,42,43,32,cardinal_n,varndean,hove_park,28,32,37,56,28,41.3,"c(-0.143262, 50.823072)",-0.143262,50.823072
BN1 1AS,39,47,29,39,37,52,56,42,43,33,cardinal_n,varndean,hove_park,29,33,37,56,29,41.7,"c(-0.144375, 50.822577)",-0.144375,50.822577
BN1 1AT,36,48,25,36,37,54,57,48,39,31,cardinal_n,varndean,baca,25,31,36,57,25,41.1,"c(-0.141079, 50.827633)",-0.141079,50.827633
BN1 1AU,35,49,31,35,39,56,48,47,38,30,varndean,cardinal_n,baca,30,31,35,56,30,40.8,"c(-0.137747, 50.823937)",-0.137747,50.823937
BN1 1AW,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1AX,35,48,19,34,36,53,58,47,37,30,cardinal_n,varndean,ds,19,30,34,58,19,39.7,"c(-0.140677, 50.828103)",-0.140677,50.828103
BN1 1AY,38,48,30,38,38,54,48,44,42,33,cardinal_n,varndean,baca,30,33,38,54,30,41.3,"c(-0.14189, 50.82117)",-0.14189,50.82117
BN1 1AZ,39,48,31,38,38,55,48,46,43,33,cardinal_n,varndean,ds,31,33,38,55,31,41.9,"c(-0.14231, 50.820961)",-0.14231,50.820961
BN1 1BA,37,47,29,36,37,52,47,42,41,31,cardinal_n,varndean,ds,29,31,36,52,29,39.9,"c(-0.141593, 50.822551)",-0.141593,50.822551
BN1 1BB,42,49,31,46,39,56,59,47,48,39,cardinal_n,hove_park,varndean,31,39,39,59,31,45.6,"c(-0.144446, 50.820779)",-0.144446,50.820779
BN1 1BD,36,45,28,35,36,51,46,41,39,31,cardinal_n,varndean,ds,28,31,35,51,28,38.8,"c(-0.140647, 50.822778)",-0.140647,50.822778
BN1 1BE,40,49,31,45,39,56,57,47,45,38,cardinal_n,varndean,hove_park,31,38,39,57,31,44.7,"c(-0.14306, 50.821)",-0.14306,50.821
BN1 1BF,42,49,31,46,39,56,59,47,48,39,cardinal_n,hove_park,varndean,31,39,39,59,31,45.6,"c(-0.144446, 50.820779)",-0.144446,50.820779
BN1 1BG,38,47,29,37,37,53,47,42,41,32,cardinal_n,varndean,ds,29,32,37,53,29,40.3,"c(-0.1421, 50.82231)",-0.1421,50.82231
BN1 1BH,38,48,19,37,36,53,48,47,40,32,cardinal_n,varndean,hove_park,19,32,36,53,19,39.8,"c(-0.141495, 50.827532)",-0.141495,50.827532
BN1 1BJ,36,45,28,35,36,51,46,41,39,31,cardinal_n,varndean,ds,28,31,35,51,28,38.8,"c(-0.140662, 50.82277)",-0.140662,50.82277
BN1 1BL,37,47,29,36,37,52,47,42,40,32,cardinal_n,varndean,ds,29,32,36,52,29,39.9,"c(-0.140083, 50.823408)",-0.140083,50.823408
BN1 1BN,35,45,28,34,36,51,44,42,37,30,cardinal_n,varndean,ds,28,30,34,51,28,38.2,"c(-0.139594, 50.822834)",-0.139594,50.822834
BN1 1BP,34,48,30,33,38,55,43,46,36,29,varndean,cardinal_n,ds,29,30,33,55,29,39.2,"c(-0.138224, 50.821232)",-0.138224,50.821232
BN1 1BQ,39,48,29,39,38,55,56,46,43,34,cardinal_n,varndean,hove_park,29,34,38,56,29,42.7,"c(-0.142992, 50.821656)",-0.142992,50.821656
BN1 1BR,40,48,28,38,37,54,57,43,43,32,cardinal_n,varndean,hove_park,28,32,37,57,28,42,"c(-0.142093, 50.824987)",-0.142093,50.824987
BN1 1BS,39,47,29,37,37,53,56,43,42,31,cardinal_n,varndean,ds,29,31,37,56,29,41.4,"c(-0.142641, 50.82299)",-0.142641,50.82299
