pcds,oa21,pcd,pcd2,lsoa21,msoa21,oseast1m,osnrth1m,household_count,person_count,pcd_oa_hh_prop,pcd_oa_pers_prop,total_hh,married_couple_dependent_ch,cohabiting_couple_dependent_ch,lone_parent_dependent_ch,other_hh_dependent_ch,all_dependent_ch_hh,prop_hh_dependent_ch,x2021_output_area,total_dep_ch_0_18,asian_dep_ch_0_18,black_dep_ch_0_18,mixed_dep_ch_0_18,white_dep_ch_0_18,other_dep_ch_0_18,non_white_dep_ch_0_18,pcd_dep_ch_hh_count,pcd_dep_ch_hh_count_round,pcd_dep_ch_0_18_total_count,pcd_dep_ch_0_18_white_count,pcd_dep_ch_0_18_non_white_count,postcode_status,lsoa_code,lsoa_name,index_of_multiple_deprivation_rank,index_of_multiple_deprivation_decile,income_rank,income_decile,income_score,employment_rank,employment_decile,employment_score,education_and_skills_rank,education_and_skills_decile,health_and_disability_rank,health_and_disability_decile,crime_rank,crime_decile,barriers_to_housing_services_rank,barriers_to_housing_services_decile,living_environment_rank,living_environment_decile,idaci_rank,idaci_decile,idaci_score,idaopi_rank,idaopi_decile,idaopi_score,geometry,catchment_2024,catchment_2026
BN1 1AB,E00085586,BN1 1AB,BN1  1AB,E01016952,E02003517,530981,0104247,2,7,0.008583690987124463,0.014830508474576272,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.18884120171673818,0,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.141789987908638, 50.8229589949012)",VarndeanStringer,VarndeanStringer
BN1 1AD,E00184774,BN1 1AD,BN1  1AD,E01016952,E02003517,530956,0104106,17,29,0.09239130434782608,0.07323232323232323,191,2,6,0,0,8,0.041884817,E00184774,10,0,0,0,7,3,3,0.7391304347826086,1,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.142166987909561, 50.8216909949003)",VarndeanStringer,VarndeanStringer
BN1 1AE,E00085586,BN1 1AE,BN1  1AE,E01016952,E02003517,530988,0104072,6,7,0.02575107296137339,0.014830508474576272,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.5665236051502146,1,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.141752987909577, 50.8213839949001)",VarndeanStringer,VarndeanStringer
BN1 1AF,E00085586,BN1 1AF,BN1  1AF,E01016952,E02003517,530996,0104202,9,17,0.03862660944206009,0.036016949152542374,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.849785407725322,1,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.141564987908797, 50.8225449949009)",VarndeanStringer,VarndeanStringer
BN1 1AG,E00085586,BN1 1AG,BN1  1AG,E01016952,E02003517,530905,0104241,9,14,0.03862660944206009,0.029661016949152543,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.849785407725322,1,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.142870987909104, 50.8229219949011)",VarndeanStringer,VarndeanStringer
BN1 1AH,E00184805,BN1 1AH,BN1  1AH,E01016952,E02003517,530904,0104221,3,4,0.043478260869565216,0.03333333333333333,61,1,0,6,0,7,0.114754098,E00184805,9,0,2,1,6,0,3,0.30434782608695654,0,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.142863987909214, 50.822735994901)",VarndeanStringer,VarndeanStringer
BN1 1AJ,E00184774,BN1 1AJ,BN1  1AJ,E01016952,E02003517,530931,0104078,17,28,0.09239130434782608,0.0707070707070707,191,2,6,0,0,8,0.041884817,E00184774,10,0,0,0,7,3,3,0.7391304347826086,1,1,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.142559987909867, 50.8214509949001)",VarndeanStringer,VarndeanStringer
BN1 1AL,E00184774,BN1 1AL,BN1  1AL,E01016952,E02003517,530901,0104068,71,104,0.3858695652173913,0.26262626262626265,191,2,6,0,0,8,0.041884817,E00184774,10,0,0,0,7,3,3,3.0869565217391304,3,3,2,1,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.142960987910086, 50.8213619949001)",VarndeanStringer,VarndeanStringer
BN1 1AN,E00184774,BN1 1AN,BN1  1AN,E01016952,E02003517,530863,0104147,7,21,0.03804347826086957,0.05303030303030303,191,2,6,0,0,8,0.041884817,E00184774,10,0,0,0,7,3,3,0.30434782608695654,0,1,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.14349998790987, 50.8220859949005)",VarndeanStringer,VarndeanStringer
BN1 1AP,E00184774,BN1 1AP,BN1  1AP,E01016952,E02003517,530852,0104004,10,17,0.05434782608695652,0.04292929292929293,191,2,6,0,0,8,0.041884817,E00184774,10,0,0,0,7,3,3,0.43478260869565216,0,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.143706987910731, 50.8208039948996)",VarndeanStringer,VarndeanStringer
